date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:07	16436/16436	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-4034%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
20:42:07	19416/19416	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-4bd8%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/brittany_signature/BrittanySignature.woff	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
20:42:07	27536/27536	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-6b90%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
20:42:07	89959/89959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-15f67%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.svg	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/brittany_signature/BrittanySignature.svg	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
20:42:08	37256/37256	---M--	200	added ('OK')	application/octet-stream	etag:%226494fa0e-9188%22	https://satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	(from https://satumomen.com/fonts/photograph_signature/fonts.css)
20:42:08	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwood.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:08	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot?	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwoodd41d.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:08	41888/41888	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-a3a0%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:09	51140/51140	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-c7c4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwood.woff	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:09	93924/93924	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-16ee4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:09	235100/235100	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-3965c%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.svg	C:/My%20Web%20Sites/Wedding/satumomen.com/fonts/heatwood/fonts/Heatwood.svg	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
20:42:09	41/41	---M--	302	error ('Found')	text/plain	date:Tue,%2024%20Jun%202025%2013:42:08%20GMT	https://unpkg.com/robots.txt		(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
